国債金利情報,,,,,,,,,,,,,,,(単位 : %)
基準日
基準日
S49.9.24
S49.9.25
S49.9.26
S49.9.27
S49.9.28
S49.9.30
S49.10.1
S49.10.2
S49.10.3
S49.10.4
S49.10.5
S49.10.7
S49.10.8
S49.10.9
S49.10.11
S49.10.12
S49.10.14
S49.10.15
S49.10.16
S49.10.17
S49.10.18
S49.10.21
S49.10.22
S49.10.23
S49.10.24
S49.10.25
S49.10.26
S49.10.28
S49.10.29
S49.10.30
S49.10.31
S49.11.1
S49.11.2
S49.11.5
S49.11.6
S49.11.7
S49.11.8
S49.11.9
S49.11.11
S49.11.12
S49.11.13
S49.11.14
S49.11.15
S49.11.18
S49.11.19
S49.11.20
S49.11.21
S49.11.22
S49.11.25
S49.11.26
S49.11.27
S49.11.28
S49.11.29
S49.11.30
S49.12.2
S49.12.3
S49.12.4
S49.12.5
S49.12.6
S49.12.7
S49.12.9
S49.12.10
S49.12.11
S49.12.12
S49.12.13
S49.12.14
S49.12.16
S49.12.17
S49.12.18
S49.12.19
S49.12.20
S49.12.23
S49.12.24
S49.12.25
S49.12.26
S49.12.27
S49.12.28
S50.1.4
S50.1.6
S50.1.7
S50.1.8
S50.1.9
S50.1.10
S50.1.11
S50.1.13
S50.1.14
S50.1.16
S50.1.17
S50.1.20
S50.1.21
S50.1.22
S50.1.23
S50.1.24
S50.1.25
S50.1.27
S50.1.28
S50.1.29
S50.1.30
S50.1.31
S50.2.1
S50.2.3
S50.2.4
S50.2.5
S50.2.6
S50.2.7
S50.2.8
S50.2.10
S50.2.12
S50.2.13
S50.2.14
S50.2.17
S50.2.18
S50.2.19
S50.2.20
S50.2.21
S50.2.22
S50.2.24
S50.2.25
S50.2.26
S50.2.27
S50.2.28
S50.3.1
S50.3.3
S50.3.4
S50.3.5
S50.3.6
S50.3.7
S50.3.8
S50.3.10
S50.3.11
S50.3.12
S50.3.13
S50.3.14
S50.3.17
S50.3.18
S50.3.19
S50.3.20
S50.3.22
